method,checkpoint,checkpoint_step,scenario,motion_mode,threat_class,steps,raw_unsafe_rate,raw_safe_margin_unsafe_rate,raw_min_predicted_cpa,raw_min_predicted_ttc
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,ar1_velocity,high,480,0.2916666666666667,0.32083333333333336,3.436305229131055,2.004099396510869
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,ar1_velocity,low,182,0.26373626373626374,0.3131868131868132,3.3521726047006117,1.4613121843943786
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,ar1_velocity,medium,536,0.26119402985074625,0.2873134328358209,2.9794515302142393,1.4791668064424213
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,crossing_or_sudden_threat,high,150,0.12666666666666668,0.12666666666666668,4.096856606677175,1.2013120077494914
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,crossing_or_sudden_threat,low,42,0.16666666666666666,0.3333333333333333,3.158348697991598,1.958720271243425
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,crossing_or_sudden_threat,medium,167,0.011976047904191617,0.011976047904191617,4.826766075019886,0.9728022207070566
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,linear,high,321,0.42679127725856697,0.42679127725856697,3.1930400648537294,1.9130283970645652
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,linear,low,129,0.16279069767441862,0.2248062015503876,3.6755160003785017,1.1320871519474576
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,linear,medium,320,0.275,0.284375,3.502803605780355,1.4598483623849887
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,sinusoidal_lateral,high,604,0.3990066225165563,0.423841059602649,3.230221741214095,1.8000633422485839
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,sinusoidal_lateral,low,149,0.12080536912751678,0.174496644295302,4.144200712842429,1.1462464022437127
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_speed,sinusoidal_lateral,medium,530,0.3886792452830189,0.43018867924528303,2.970496660756949,1.7147302039183414
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_threat,accel_decel,high,676,0.30177514792899407,0.33579881656804733,3.350500989009588,2.2197313366337834
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_threat,accel_decel,low,157,0.42038216560509556,0.45222929936305734,3.1186047449862215,1.7611058991103108
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_threat,accel_decel,medium,345,0.1681159420289855,0.20579710144927535,3.8501357884510705,1.9713428158331203
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_threat,ar1_velocity,high,618,0.4255663430420712,0.4449838187702265,3.2007194346304484,1.5797526866299045
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_threat,ar1_velocity,low,155,0.03225806451612903,0.11612903225806452,4.663097764227179,1.2166891838828844
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_threat,ar1_velocity,medium,409,0.3740831295843521,0.4058679706601467,3.2459656731920057,1.7617923660248878
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_threat,crossing_or_sudden_threat,high,344,0.23255813953488372,0.23546511627906977,4.2600546483996835,1.6600745253764926
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_threat,crossing_or_sudden_threat,low,89,0.3258426966292135,0.3258426966292135,3.653211394052827,2.164264962017791
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_threat,crossing_or_sudden_threat,medium,266,0.2631578947368421,0.2706766917293233,4.27730601287755,1.6526826093645757
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_threat,linear,high,486,0.30864197530864196,0.32098765432098764,3.863106310881153,1.6792095838488894
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_threat,linear,low,103,0.06796116504854369,0.06796116504854369,4.66657586251069,0.8571564587554531
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_threat,linear,medium,207,0.34782608695652173,0.4057971014492754,3.8245713712820772,1.8354307456012506
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_threat,sinusoidal_lateral,high,670,0.3656716417910448,0.4014925373134328,3.712083313687921,1.9940211085353128
gpsi_heada_ppo_no_shield,gpsi_ppo_1000k,1000000,eval_flow_high_threat,sinusoidal_lateral,low,145,0.2482758620689655,0.2896551724137931,3.288967463650323,1.5911009340042097
