method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,linear,medium,full_aug_obs,0,155,14570,0,0,29.38594814423592,30.574953079223633,39.59218063354492,41.46006393432617,9.391412098177017,12.634975814819336,13.260577201843262
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,accel_decel,medium,obs_i_12,0,91,1092,0,0,1.4804645377201038,1.5293492078781128,1.9187246561050415,2.316406726837158,0.7788890135157239,1.0912979245185852,1.2854028940200806
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,accel_decel,medium,z_i_64_raw,0,91,5824,0,0,35.42613404661744,37.080650329589844,41.98095893859863,43.58646774291992,12.104392580933624,14.392776012420654,14.839313507080078
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,accel_decel,medium,z_i_64_after_norm,0,91,5824,0,0,35.42613404661744,37.080650329589844,41.98095893859863,43.58646774291992,12.104392580933624,14.392776012420654,14.839313507080078
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,accel_decel,medium,delta_hat_9_after_scale,0,91,819,0,0,1.1538125073516763,1.1778582334518433,1.4807775616645813,1.9337769746780396,0.9257635949077186,1.2086979150772095,1.541072964668274
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,accel_decel,medium,logvar_hat_9_clamped,0,91,819,0,0,13.83471368433355,14.103873252868652,14.481826305389404,14.632020950317383,4.998063925858382,5.0,5.0
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_id,accel_decel,medium,full_aug_obs,0,91,8554,0,0,38.12879136892465,39.71546936035156,44.4205379486084,45.91963577270508,12.120386888692668,14.392776012420654,14.839313507080078
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,accel_decel,high,obs_i_12,0,8866,106392,0,0,1.42838302368965,1.4097166657447815,1.940405249595642,2.326911687850952,0.8531681405900967,1.1185941100120544,1.3376892805099487
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,accel_decel,high,z_i_64_raw,0,8866,567424,0,0,26.204775502389694,26.460537910461426,39.38666820526123,46.118309020996094,9.438823276923575,13.518599510192871,15.885721206665039
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,accel_decel,high,z_i_64_after_norm,0,8866,567424,0,0,26.204775502389694,26.460537910461426,39.38666820526123,46.118309020996094,9.438823276923575,13.518599510192871,15.885721206665039
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,accel_decel,high,delta_hat_9_after_scale,0,8866,79794,0,0,1.3442516867630225,1.2906070351600647,2.069612741470337,3.479548692703247,1.0447672185446657,1.5473122000694275,3.1252448558807373
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,accel_decel,high,logvar_hat_9_clamped,0,8866,79794,0,0,12.802823178095336,13.23417615890503,14.37601351737976,15.0,4.96438404428967,5.0,5.0
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,accel_decel,high,full_aug_obs,0,8866,833404,0,0,29.341445928122265,29.599482536315918,41.948036193847656,48.36484146118164,9.451416700359072,13.518599510192871,15.885721206665039
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,crossing_or_sudden_threat,high,obs_i_12,0,4627,55524,0,0,1.3895774747244813,1.3661857843399048,1.8846964597702027,2.208331823348999,0.8154099090763527,1.0912224054336548,1.354264259338379
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,crossing_or_sudden_threat,high,z_i_64_raw,0,4627,296128,0,0,25.25941216407184,24.804353713989258,38.52289085388183,46.29339599609375,9.110425104712574,13.29131908416748,15.948512077331543
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,crossing_or_sudden_threat,high,z_i_64_after_norm,0,4627,296128,0,0,25.25941216407184,24.804353713989258,38.52289085388183,46.29339599609375,9.110425104712574,13.29131908416748,15.948512077331543
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,crossing_or_sudden_threat,high,delta_hat_9_after_scale,0,4627,41643,0,0,1.3072961864601285,1.2846027612686157,2.0234513759613035,3.3580543994903564,1.0267275220267467,1.5456004738807676,2.8532419204711914
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,crossing_or_sudden_threat,high,logvar_hat_9_clamped,0,4627,41643,0,0,12.699975801385039,13.171201705932617,14.352813148498536,14.867765426635742,4.965600754804016,5.0,5.0
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,crossing_or_sudden_threat,high,full_aug_obs,0,4627,434938,0,0,28.453828841737675,28.13446807861328,41.13239936828613,48.49945831298828,9.131140115066819,13.29131908416748,15.948512077331543
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,sinusoidal_lateral,high,obs_i_12,0,11689,140268,0,0,1.4019903547597183,1.3900229930877686,1.8734604597091675,2.382993459701538,0.8308519842494329,1.0409515380859375,1.4289911985397339
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,sinusoidal_lateral,high,z_i_64_raw,0,11689,748096,0,0,26.343657118452757,26.739103317260742,38.465972900390625,42.533668518066406,9.49034652310999,13.235543441772462,14.68433952331543
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,sinusoidal_lateral,high,z_i_64_after_norm,0,11689,748096,0,0,26.343657118452757,26.739103317260742,38.465972900390625,42.533668518066406,9.49034652310999,13.235543441772462,14.68433952331543
raw_z,gpsi_full_raw_z_repaired,raw_z_250k,250000,250k,eval_flow_high_density,sinusoidal_lateral,high,delta_hat_9_after_scale,0,11689,105201,0,0,1.3313595237402729,1.307767629623413,2.01692590713501,3.3455474376678467,1.0288430088521483,1.5125728130340579,2.870140552520752
