run_name,seed,step,scenario,success_rate,collision_rate,mean_min_distance,std_min_distance,mean_time,mean_episode_reward,mean_reaction_time,std_reaction_time,nan_rate_reaction_time,mean_min_distance_after_turn,mean_risk_at_turn,mean_risk_max_after_turn,mean_risk_rise_time_0p3,mean_risk_rise_time_0p5,nan_rate_risk_rise_0p5,mean_sigma_trace_at_turn,mean_sigma_trace_max_after_turn,mean_sigma_rise_time_2x,mean_R_sum_at_turn,mean_R_sum_max_after_turn,mean_R_bar_at_turn,mean_R_bar_max_after_turn,mean_w_risk_at_turn,mean_w_risk_max_after_turn,turning_obstacle_top1_rate_after_turn
Rgate8_lambda015,1,100k,sudden,1.0,0.0,1.363250913619995,0.308718196697531,7.3260000000000005,22.178442128225694,0.2380000000000001,0.1440959276441786,0.0,2.070660903453827,0.011794242810684832,0.025801704172583848,0.2000000000000001,,1.0,1.1437986214955649,2.065407693386078,1.7230769230769236,0.011796119154481331,0.4768843110912712,0.011763386526460593,0.416591443394503,0.8078535040219624,0.9777626146872839,1.0
Rgate8_lambda015,1,200k,hard,1.0,0.0,1.0177665919065475,0.19320386429238762,7.380000000000001,21.901255198249505,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,1,200k,random,1.0,0.0,1.5729115790128707,0.6617085261911213,7.311999999999999,22.165023452688356,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,1,200k,sudden,1.0,0.0,1.4055451464653015,0.3360860126785037,7.35,22.179150101799973,0.2640000000000001,0.20276871434013558,0.0,2.038130521774292,0.014338095317268294,0.02354602888674258,,,1.0,1.1485631545384725,1.9040885309378306,1.7090909090909092,0.014339436171079214,0.3789662321133316,0.014228172350131804,0.341369974396316,0.770545569807291,0.99995632370313,1.0
Rgate8_lambda015,1,300k,hard,0.99,0.01,0.9189725106954575,0.17946841284188683,6.95,21.60713920152231,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,1,300k,random,1.0,0.0,1.3830322349071502,0.6551634573420139,6.911999999999999,22.222134062341027,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,1,300k,sudden,1.0,0.0,1.2171998673677444,0.2475519730356827,6.956,22.183817527500494,3.2520000000000007,10.00790071731713,0.0,1.7259112936258316,0.03400690341093093,0.03838072081316565,0.0,,1.0,1.204324867328008,1.8328774551550546,2.066666666666667,0.0340130169127278,0.4972302118005852,0.0334713147467992,0.4365890697483479,0.9318582485119502,0.9999597390492757,1.0
Rgate8_lambda015,1,500k,hard,0.95,0.05,0.8237039339542389,0.15402750077852723,6.480000000000001,20.41292403842973,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,1,500k,random,1.0,0.0,1.2156642043590546,0.6319522090936164,6.734,22.218098403495727,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,1,500k,sudden,1.0,0.0,1.0363399344682693,0.16131934491430835,6.796,22.19317662037322,9.448,15.988888060592,0.0,1.5081087905168533,0.05905207833570065,0.06326381398478889,0.0,0.0,0.9666666666666667,1.201053410768509,1.753278261423111,1.8000000000000003,0.05990609386229233,0.6342324465513229,0.057286028797104156,0.5449566541585781,0.9101710324486096,0.9993507087230682,1.0
Rgate8_lambda015,2,100k,hard,1.0,0.0,0.9478556114435196,0.17963422347529806,7.351999999999999,22.10861579104947,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,2,100k,random,0.99,0.01,1.485104686021805,1.1231127623699986,6.988,22.066416349217114,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,2,100k,sudden,1.0,0.0,1.1425439411401748,0.24495194096515113,7.183999999999998,22.413699092706302,0.34200000000000025,0.42287615494875397,0.0,1.6313391137123108,0.049040595650653766,0.062085704592024595,0.0,0.0,0.9666666666666667,1.021561324596405,1.750397135814031,2.0000000000000004,0.05373986195145798,0.47779128841745355,0.04949610847851357,0.4220244732424468,0.7202757907958222,0.932046769062678,0.9333333333333333
Rgate8_lambda015,2,200k,hard,1.0,0.0,1.0934779411554336,0.2396754556879517,7.77,22.085252114043364,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,2,200k,random,1.0,0.0,1.87666130900383,1.1179345562264635,7.678000000000001,22.271672266315235,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,2,200k,sudden,1.0,0.0,1.5024353438615798,0.3615974976678075,7.797999999999999,22.393983389625877,0.2100000000000001,0.06590473688161078,0.0,2.2423831939697267,0.009470219783876969,0.015529004888893373,,,1.0,0.9402049670616786,2.041685771942139,1.7888888888888894,0.009470697107140269,0.17424455763133057,0.00927539417254186,0.16402931080780903,0.564904989550511,0.8884144236644109,0.9666666666666667
Rgate8_lambda015,2,300k,hard,0.97,0.03,0.9585669338703156,0.23409206474287675,6.836000000000001,21.207830855684914,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,2,300k,random,1.0,0.0,1.6236594718694688,1.1856149782352683,6.944,22.347955492639993,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,2,300k,sudden,1.0,0.0,1.2407830560207367,0.24044454625362344,7.014000000000001,22.42307963256966,3.088,8.707656911528431,0.0,1.6673538011312485,0.030728156152117953,0.040843657260803426,0.0,,1.0,1.0669916997353235,1.877448352177938,2.1,0.03981309805257945,0.34237676081350704,0.03870543094562303,0.3060352894903902,0.7980993671425798,0.9870086371898651,1.0
Rgate8_lambda015,2,500k,hard,0.96,0.04,0.8920917609333991,0.2173247795399881,6.604,20.868467709466305,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,2,500k,random,1.0,0.0,1.424594640135765,1.1174718554259315,6.762000000000001,22.342881745437147,,,1.0,,,,,,,,,,,,,,,,
Rgate8_lambda015,2,500k,sudden,0.99,0.01,1.060186527967453,0.17500682297531675,6.82,22.139865769120743,6.353535353535356,13.543605412807148,0.01,1.465211688876152,0.07156989542485163,0.11567184949345916,0.15000000000000008,0.10000000000000005,0.9333333333333333,1.1275863030861164,1.8076375763991783,2.2400000000000007,0.07799497058862202,0.5141905908860888,0.07253219822174606,0.4511969259963016,0.9321134531984928,0.9998519975563576,0.9666666666666667
Rgate8,0,100k,hard,1.0,0.0,0.9784941762685776,0.12865860077178629,7.12,22.030368760487207,,,1.0,,,,,,,,,,,,,,,,
