method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1500k,1500000,1500k,eval_flow_high_density,50,0.42,0.58,0.42,0.9154153432710521,5.359043983729951,0.6440250819921494,116.94,28.601901982551425,0.32382952435621504,0.3555757593522382,1.615318670080623,0.09006117411940609,0.0,3.2215637533681,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1500k,1500000,1500k,eval_flow_high_speed,50,0.44,0.56,0.4,0.9370682147747524,5.251520717123686,0.7230517816543579,117.14,29.74311469569722,0.23537513146428718,0.27732696221420305,1.6153647311309232,0.0827549894064241,0.0,3.4523847676419575,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1500k,1500000,1500k,eval_flow_high_threat,50,0.46,0.54,0.38,0.9179462490256951,5.818827786488808,0.8085339641571045,114.72,29.505164643219565,0.24905335777652354,0.2840501971098125,1.6183659889202247,0.08157128320209589,0.0,3.7422317272241186,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1500k,1500000,1500k,eval_flow_id,50,0.42,0.58,0.38,0.9470425678349254,5.883414138383853,0.7176084151864052,112.4,29.66284033125701,0.274461879420546,0.3030599522931914,1.622764093372937,0.08471789583786139,0.0,3.6150232609473476,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1500k,1500000,1500k,eval_flow_mixed_ood,50,0.42,0.58,0.42,0.9349689466871861,5.524745696988755,0.6822713637351989,115.54,29.362566472210165,0.26390178616367704,0.30523735300005045,1.617803930192546,0.08939474845384762,0.0,3.4936484132104755,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1500k,1500000,1500k,eval_flow_sudden_threat,50,0.54,0.46,0.5,0.946229783172852,5.732993524918307,0.7660416179895401,119.44,32.120171407416194,0.25605398398831053,0.2855247718913841,1.6156209339078114,0.08996704795203471,0.0,3.6192303638484566,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_750k,750000,750k,eval_flow_high_density,50,0.44,0.56,0.4,0.9215863617388487,4.695232150800894,0.6868525582551956,101.72,29.31894479694175,0.2950763853367969,0.322692474749993,1.5406477980923834,0.09057625248782139,0.0,2.7581511294375,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_750k,750000,750k,eval_flow_high_speed,50,0.42,0.58,0.38,0.9350326432885109,4.507265399156341,0.7154100638628006,103.64,29.4382443590073,0.23155956957810125,0.27352369795628434,1.5364999212141977,0.0891790263944244,0.0,2.882227489356452,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_750k,750000,750k,eval_flow_high_threat,50,0.4,0.6,0.38,0.9536670844154896,4.940858844664041,0.653871721625328,105.82,29.65862897944296,0.2601260906283953,0.2930328455305932,1.5383472398299824,0.09331311645713454,0.0,3.105597872698035,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_750k,750000,750k,eval_flow_id,50,0.56,0.44,0.54,0.9605872462273929,5.18084886132564,0.7561198842525482,106.64,33.102236126590626,0.25742063447191915,0.2871881611154576,1.5367533729623402,0.09618635401741533,0.0,3.109730003078167,0
