method_key,method,checkpoint,checkpoint_step,checkpoint_label,threat_motion_mode,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,accel_decel,64,0.5625,0.4375,0.46875,0.9485586895646407,5.505372107215689,0.8184743905439973,113.609375,32.63120796938954,0.2281884400897852,0.26257730820056807,1.5584328981187128,0.0970112940789941,0.0,3.669790923441379,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,ar1_velocity,75,0.49333333333333335,0.5066666666666667,0.4533333333333333,0.9417999404941636,5.390325021469859,0.7091212028264999,112.29333333333334,31.136076950160756,0.2380607267197437,0.2681561912723023,1.560498425865668,0.09563944881356928,0.0,3.5270478233456886,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,crossing_or_sudden_threat,53,0.6037735849056604,0.39622641509433965,0.5660377358490566,0.953447697615779,5.523277044319582,0.7931778554646474,114.41509433962264,33.77068612024644,0.25044450069907126,0.2823291370620915,1.5597185599847656,0.09898094497494773,0.0,3.601915864839751,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,linear,36,0.5555555555555556,0.4444444444444444,0.5,0.9390486387947933,5.497493534007263,0.8805684712198045,112.13888888888889,32.199683847202714,0.22785010310734843,0.2557539205437135,1.557006936594379,0.09408145740753898,0.0,3.635221231296809,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,1500000,final,sinusoidal_lateral,72,0.6111111111111112,0.3888888888888889,0.5555555555555556,0.9507280407193132,5.274776820206614,0.802064766900407,114.13888888888889,33.78875168728317,0.24988495486542162,0.29009574152930934,1.5611814662362613,0.09718990372781124,0.0,3.4545843979097905,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1000k,1000000,1000k,accel_decel,72,0.4444444444444444,0.5555555555555556,0.4166666666666667,0.9211930290557986,4.95428433312469,0.6881718817684386,102.88888888888889,29.407982400958637,0.2757404131930866,0.30754226453936107,1.5674617993169335,0.0843814799308434,0.0,3.0695875294577917,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1000k,1000000,1000k,ar1_velocity,68,0.4117647058823529,0.5882352941176471,0.38235294117647056,0.9241486548276068,4.99270476393814,0.6887964003664606,103.16176470588235,28.895580841206726,0.27534047917100524,0.3082592141453755,1.5629652105462886,0.08196067680919447,0.0,3.078954324194485,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1000k,1000000,1000k,crossing_or_sudden_threat,47,0.3404255319148936,0.6595744680851063,0.3404255319148936,0.9252494056385585,5.086315200786194,0.6362562598066127,102.27659574468085,27.549260357237703,0.25626183143796494,0.2938276541952588,1.561569571423959,0.07950422297918022,0.0,3.232422981025153,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1000k,1000000,1000k,linear,32,0.375,0.625,0.34375,0.9261483027163512,4.877598957747191,0.6496007260866463,100.65625,28.304957292669904,0.3154962721489762,0.3552894359612982,1.5629858028707402,0.07655902719644249,0.0,2.8646753703262844,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1000k,1000000,1000k,sinusoidal_lateral,81,0.3950617283950617,0.6049382716049383,0.35802469135802467,0.9271604292759758,5.013256657671759,0.6909042147942531,103.71604938271605,28.60113648876564,0.26116025797160736,0.29963810111491473,1.564241276901524,0.08294529753240752,0.0,3.0785934726486044,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1250k,1250000,1250k,accel_decel,71,0.4084507042253521,0.5915492957746479,0.38028169014084506,0.9517710717698185,5.9764094358134745,0.7009718437010134,114.67605633802818,29.500151998959417,0.25270938306355134,0.28692107936140665,1.621072068594534,0.05973091290189851,0.0,3.808651436681033,0
z_layernorm_alpha_0p5_cont_1p5m,gpsi_z_layernorm_alpha_0p5_cont_1p5m,z_layernorm_alpha_0p5_cont_1p5m_1250k,1250000,1250k,ar1_velocity,66,0.3787878787878788,0.6212121212121212,0.30303030303030304,0.9597331481650043,5.932671133189886,0.7340284902037997,115.98484848484848,29.188041495318153,0.24590119400615706,0.275572795575945,1.6194606536007596,0.06098137544567549,0.0,3.8213073440097776,0
