scenario,baseline_name,config_name,baseline_category,episodes,success_rate,collision_rate,timeout_rate,near_miss_rate,progress_mean,final_goal_distance_mean,episode_return_mean,episode_length_steps_mean,mean_time,episode_min_distance_mean,mean_min_distance,min_distance_after_threat_mean,replacement_count_mean,active_obstacle_count_mean,mean_action_norm,mean_action_delta,max_action_delta,filter_used,filter_trigger_rate,mean_filter_delta_norm,max_filter_delta_norm,nan_or_crash
eval_flow_high_density,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,safety_filter,50,0.54,0.4,0.06,0.2,0.9849964220951857,0.9442537987232208,32.57605322855035,213.38,42.676,1.056289070546627,4.019738708464746,1.089296656548977,84.7,8.88,1.2471537626633746,0.23588494797867032,1.6136271619796754,1,0.5377325758811758,0.4183574508789843,1.655186026096344,0
eval_flow_high_speed,attention_full_1500k,attention_full_1500k,reference,50,0.54,0.46,0.0,0.54,0.9577705475963839,1.5956513649225235,32.446302590603125,111.36,22.272000000000002,0.7254288952052593,4.461542829295176,0.757379987090826,60.18,6.26,1.4509645614477007,0.1446863606073413,1.0346513259410859,0,0.0,0.0,0.0,0
eval_flow_high_speed,cpa_reactive_sweep,cpa_reactive_cpa30,cpa_reactive_sweep,50,0.0,0.1,0.9,0.24,0.9349348336374625,5.695762903690338,8.849347981764675,477.94,95.588,1.6538539534807206,4.349416618167247,1.62266177713871,209.46,6.26,0.9999999847776831,1.054240235131662,1.9999034881591797,0,0.0,0.0,0.0,0
eval_flow_high_speed,cpa_reactive_sweep,cpa_reactive_d5,cpa_reactive_sweep,50,0.04,0.02,0.94,0.3,0.9051454774179638,4.917301207184791,13.82195077878994,495.6,99.12,1.7395470130443573,4.186154128540994,1.7376877510547637,209.8,6.26,0.999999983276411,0.8692418062513256,1.9999737429618836,0,0.0,0.0,0.0,0
eval_flow_high_speed,cpa_reactive_sweep,cpa_reactive_w28,cpa_reactive_sweep,50,0.02,0.06,0.92,0.22,0.9285479730090599,5.084027442932129,10.62403837968698,487.96,97.59200000000001,1.7048105186223983,4.1419527319513785,1.714820384979248,211.82,6.26,0.9999999848989728,1.0057884137941533,1.9999296927452088,0,0.0,0.0,0.0,0
eval_flow_high_speed,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,apf,50,0.4,0.6,0.0,0.4,0.6542663485081412,11.908839281797409,19.02790236751054,83.88,16.776,0.6575743395090103,3.024572521412655,0.659942974448204,44.14,6.26,0.9999999876789113,0.2807863727124014,1.7712807393074035,0,0.0,0.0,0.0,0
eval_flow_high_speed,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,apf,50,0.4,0.6,0.0,0.4,0.7103132821034944,10.001419585943221,20.72456264325151,93.24,18.648,0.6472424578666687,2.9430940488164845,0.6570830696821213,50.2,6.26,0.999999986078081,0.3011426832603577,1.7905851995944977,0,0.0,0.0,0.0,0
eval_flow_high_speed,current_cpa_reactive,cpa_reactive_current,"reference,cpa_reactive_sweep",50,0.16,0.1,0.74,0.3,0.9374146888250081,4.153566289544106,14.40579568535884,449.22,89.844,1.5506484162807466,3.9683152076103823,1.5694864416122436,199.14,6.26,0.9999999847856956,0.9714666141786116,1.9996092557907104,0,0.0,0.0,0.0,0
eval_flow_high_speed,random,random,reference,50,0.0,0.0,1.0,0.06,0.10486888803316287,30.89245765686035,-12.946010039048993,500.0,100.0,2.7077031433582306,5.898655437512398,2.716364555358887,183.28,6.26,0.7782596555911004,1.05923057101596,2.3931683921813964,0,0.0,0.0,0.0,0
eval_flow_high_speed,straight_line,straight_line,reference,50,0.0,1.0,0.0,0.0,0.20048865680357297,27.18743453979492,-3.291684109282494,17.86,3.572,0.45072596102952955,4.1563038581195135,0.46641973823308946,10.44,6.26,0.9999999781682294,3.428364512672501e-08,9.65923030094018e-08,0,0.0,0.0,0.0,0
eval_flow_high_speed,vo_like_filter,vo_like_filter_h45_cpa1p2_h16,safety_filter,50,0.82,0.18,0.0,0.72,0.9837143356872281,0.7596631962060928,38.36682489256822,150.44,30.088,1.1394552332162857,4.140758436554932,1.1542446380853653,76.58,6.26,1.3455059477817466,0.22599479093139307,1.5412606596946716,1,0.33149947739006713,0.22225430218321654,1.5385702908039094,0
eval_flow_high_speed,vo_like_filter,vo_like_filter_h45_cpa1p5_h16,safety_filter,50,0.68,0.28,0.04,0.5,0.9877342646411619,0.8554762589931488,35.542885497268195,179.9,35.98,1.0287351405620575,3.948446443616404,1.0450370573997498,91.54,6.26,1.3036205600264765,0.24580400267970706,1.6566692423820495,1,0.42434381269798316,0.2957486020842916,1.777740046977997,0
eval_flow_high_threat,attention_full_1500k,attention_full_1500k,reference,50,0.62,0.38,0.0,0.58,0.9686721024780387,1.1602353376150132,34.48946027429755,112.34,22.468000000000004,0.8570077282190323,4.931150739451462,0.9171138739585877,29.44,6.26,1.44465356408027,0.12830444784845702,0.9180971896648407,0,0.0,0.0,0.0,0
eval_flow_high_threat,cpa_reactive_sweep,cpa_reactive_cpa30,cpa_reactive_sweep,50,0.02,0.08,0.9,0.3,0.9465984343521916,5.651652655601501,6.514922623270695,482.96,96.59200000000001,1.5936905097961427,4.01677457132154,1.5885527002811433,118.56,6.26,0.9999999846537204,1.1701022990772123,1.9999543976783754,0,0.0,0.0,0.0,0
eval_flow_high_threat,cpa_reactive_sweep,cpa_reactive_d5,cpa_reactive_sweep,50,0.1,0.04,0.86,0.16,0.9158613577854847,4.432406072616577,12.973726357500942,475.42,95.084,1.842720913887024,4.084558357980906,1.8471209931373596,94.48,6.26,0.9999999832626137,0.9665838995244148,1.9999801373481751,0,0.0,0.0,0.0,0
eval_flow_high_threat,cpa_reactive_sweep,cpa_reactive_w28,cpa_reactive_sweep,50,0.08,0.1,0.82,0.32,0.9366649336520979,4.332413637638092,10.20953059604371,464.14,92.82799999999999,1.5132689768075942,3.8764108044151158,1.5256154018640518,103.18,6.26,0.9999999845134667,1.0971866694789123,1.9999613738059998,0,0.0,0.0,0.0,0
eval_flow_high_threat,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha2,apf,50,0.62,0.38,0.0,0.62,0.8567722283115968,5.123681011199952,30.05948976063576,98.16,19.632,0.7760631608963012,2.7960479485653598,0.7957813954353332,26.3,6.26,0.9999999853562451,0.2816629001147334,1.8764294451475143,0,0.0,0.0,0.0,0
eval_flow_high_threat,cpa_ttc_weighted_apf,cpa_ttc_weighted_apf_alpha3,apf,50,0.74,0.26,0.0,0.74,0.9225861423664458,2.9616352927684786,34.50373321310426,105.78,21.156,0.8270486289262772,2.660371101944834,0.8448671287298203,29.18,6.26,0.9999999835808336,0.2961502054664688,1.8422381567955017,0,0.0,0.0,0.0,0
