split,horizon_sec,motion_mode_id,motion_mode,axis,count,mean,median,p10,p90,min,max
test,1.0,3,ar1_velocity,y,8508,-3.6656219190871933,-3.6517155170440674,-4.182360076904297,-3.1893131732940674,-5.0,-2.072169780731201
test,1.0,3,ar1_velocity,z,8508,-4.968459811298064,-5.0,-5.0,-4.998463869094849,-5.0,-3.147824764251709
test,2.0,3,ar1_velocity,x,7690,-1.759671479719358,-1.7615259289741516,-1.9926379919052124,-1.5359925270080566,-2.850843906402588,-0.8483161330223083
test,2.0,3,ar1_velocity,y,7690,-1.4134346217420848,-1.4033132791519165,-1.6533654808998108,-1.187997078895569,-2.69716739654541,-0.7177613377571106
test,2.0,3,ar1_velocity,z,7690,-3.546050009259322,-3.541293740272522,-4.032266759872437,-3.0918941497802734,-5.0,-1.9505356550216675
test,4.0,3,ar1_velocity,x,6088,-1.2248979526940298,-1.212683379650116,-1.4926095604896545,-0.9701722681522369,-2.5521512031555176,-0.34276053309440613
test,4.0,3,ar1_velocity,y,6088,0.1564346016306643,0.1617058962583542,0.01768427453935147,0.29448412358760834,-0.5837390422821045,0.7283877730369568
test,4.0,3,ar1_velocity,z,6088,-2.7854180874280954,-2.7860301733016968,-3.1401693344116213,-2.43575005531311,-4.429845333099365,-1.658825397491455
test,1.0,4,crossing_or_sudden_threat,x,7559,-3.093481107495547,-3.074284315109253,-3.4959124088287354,-2.7203942775726317,-4.366463661193848,-2.553861379623413
test,1.0,4,crossing_or_sudden_threat,y,7559,-3.3506259368137483,-3.3356244564056396,-3.740427303314209,-2.975141477584839,-4.443853855133057,-2.7465782165527344
test,1.0,4,crossing_or_sudden_threat,z,7559,-4.928985274110873,-5.0,-5.0,-4.7091529846191404,-5.0,-4.133847236633301
test,2.0,4,crossing_or_sudden_threat,x,7109,-1.6667925112189448,-1.652420997619629,-1.8725955486297607,-1.489418864250183,-2.4792308807373047,-1.1569410562515259
test,2.0,4,crossing_or_sudden_threat,y,7109,-1.307957744276428,-1.3010419607162476,-1.480471396446228,-1.1486747980117797,-1.8674943447113037,-1.0264945030212402
test,2.0,4,crossing_or_sudden_threat,z,7109,-3.257756670142783,-3.2419040203094482,-3.6364173889160156,-2.887062835693359,-4.287630081176758,-2.665090322494507
test,4.0,4,crossing_or_sudden_threat,x,6213,-1.1940135768832512,-1.1759952306747437,-1.3616591691970825,-1.0603266716003419,-1.986916184425354,-0.6780487895011902
test,4.0,4,crossing_or_sudden_threat,y,6213,0.179372205551574,0.17662188410758972,0.07621277868747711,0.2729983150959016,-0.24542000889778137,0.6740264892578125
test,4.0,4,crossing_or_sudden_threat,z,6213,-2.584167258704551,-2.570655345916748,-2.908310794830322,-2.284205961227417,-3.6780943870544434,-2.0097413063049316
