method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,threat_motion_mode,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1000,accel_decel,59,0.3728813559322034,0.6271186440677966,0.3728813559322034,0.9231200243108486,4.173619911275906,0.6470676063228462,104.69491525423729,28.05481261681023,0.31166254037947205,0.35971516232025186,1.4895447521566918,0.11587818498169952,0.0,2.287116736849406,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1000,ar1_velocity,74,0.47297297297297297,0.527027027027027,0.3918918918918919,0.9295141653381631,4.231241974842575,0.760195838438498,104.71621621621621,30.30221374887066,0.3127339102728521,0.36272544064397516,1.5037669538164584,0.11926871773817756,0.0,2.2966605748014635,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1000,crossing_or_sudden_threat,45,0.5777777777777777,0.4222222222222222,0.5777777777777777,0.9412601988125735,4.320184160102842,0.7225994510783089,106.91111111111111,32.80088531466721,0.30527071579017445,0.35623438438753624,1.4992361832100916,0.11875286741478358,0.0,2.3402034782915346,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1000,linear,43,0.4418604651162791,0.5581395348837209,0.4418604651162791,0.9080121436702964,4.388938189062253,0.6759025620859723,105.30232558139535,28.91138375319173,0.3021682761390174,0.3422329090105325,1.4838188697509327,0.11438533990522887,0.0,2.4783302363684556,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1000,sinusoidal_lateral,79,0.4050632911392405,0.5949367088607594,0.379746835443038,0.9124439885495629,4.1113390346177505,0.685389567590967,105.54430379746836,28.35173812088946,0.32051518709449706,0.3819750929925239,1.4921365859362792,0.11382370005075589,0.0,2.1972041774087008,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1001,accel_decel,57,0.38596491228070173,0.6140350877192983,0.38596491228070173,0.92088850074223,4.097216980478895,0.6483114653250628,104.9298245614035,28.235226854565624,0.3157404778179623,0.36369196896844447,1.484716766958141,0.11623155032956187,0.0,2.2216155504232686,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1001,ar1_velocity,73,0.4657534246575342,0.5342465753424658,0.3835616438356164,0.9286843548834314,4.21699398332424,0.7610411937922648,104.61643835616438,30.129733835135944,0.3138378973020301,0.36402500636708246,1.5037786627447425,0.1190868368655945,0.0,2.2822567281796906,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1001,crossing_or_sudden_threat,48,0.6041666666666666,0.3958333333333333,0.5833333333333334,0.9438723480367385,4.281929260205229,0.770625536950926,106.77083333333333,33.420902774934696,0.29622374140847985,0.35040586924309663,1.4984351001728895,0.11751926003354847,0.0,2.327991874416182,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1001,linear,43,0.4186046511627907,0.5813953488372093,0.4186046511627907,0.9039630307468332,4.351809353949388,0.6634757352429766,104.46511627906976,28.301389284809698,0.3051718760418421,0.3454131912605822,1.4842338468974772,0.11393785995053642,0.0,2.443864736030036,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1001,sinusoidal_lateral,79,0.3924050632911392,0.6075949367088608,0.379746835443038,0.9123724622559126,4.089799110163665,0.6631731370204612,105.36708860759494,28.09875911891301,0.323001624707517,0.38499433866547667,1.4920375983366239,0.11352026565478983,0.0,2.1716922377287755,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1002,accel_decel,57,0.38596491228070173,0.6140350877192983,0.38596491228070173,0.92088850074223,4.097216980478895,0.6483114653250628,104.9298245614035,28.235226854565624,0.3157404778179623,0.36369196896844447,1.484716766958141,0.11623155032956187,0.0,2.2216155504232686,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1002,ar1_velocity,73,0.4794520547945205,0.5205479452054794,0.3972602739726027,0.9288258634102533,4.237665646188911,0.7662166038604632,104.65753424657534,30.409279732931818,0.313662142898595,0.3638112483415625,1.50426588911808,0.11868008743091736,0.0,2.283815196194311,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1002,crossing_or_sudden_threat,48,0.5833333333333334,0.4166666666666667,0.5625,0.9437427432270472,4.306872532151247,0.7630549808964133,106.58333333333333,33.000786059815205,0.29486024555968987,0.348854685706619,1.4983779479450876,0.11757595996370289,0.0,2.3481756676382184,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1002,linear,42,0.40476190476190477,0.5952380952380952,0.40476190476190477,0.9026523252664722,4.343945083563485,0.6679245375451588,104.21428571428571,27.97981876490146,0.30801151449743214,0.34967731090202064,1.482317386084786,0.1132205649511073,0.0,2.4084926377757765,0
p3_1250k,P3_block_projected_1250k,P3_block_projected_1250k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1250k.zip,1250000,1250k,1002,sinusoidal_lateral,80,0.3875,0.6125,0.375,0.9106698552947636,4.109890175745943,0.6652416752651333,105.05,27.937042905351127,0.32114952568470406,0.38241455088736065,1.4925231316374468,0.11370613462458903,0.0,2.19063266598622,0
p3_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1000,accel_decel,63,0.5238095238095238,0.47619047619047616,0.5238095238095238,0.9522621084811593,4.682526521582167,0.7236363405273074,114.9047619047619,31.909517598083557,0.2999007305769445,0.34511233051100526,1.5438683025770872,0.1499583350181931,0.0,2.6845030152090126,0
p3_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1000,ar1_velocity,76,0.6578947368421053,0.34210526315789475,0.6447368421052632,0.9523690913380899,4.562705491966815,0.824332415273315,115.94736842105263,34.61193781399438,0.3123360452781034,0.35812856841007096,1.5353280592767446,0.15736511509560186,0.0,2.644680851258039,0
p3_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1000,crossing_or_sudden_threat,47,0.6808510638297872,0.3191489361702128,0.6595744680851063,0.9574004085454391,4.636422575509819,0.8383921207265651,116.04255319148936,35.260678785109036,0.3181415920327123,0.3637562951747438,1.5377340922700788,0.15753307011515788,0.0,2.597298395954306,0
