method,step,scenario,seed_count,d_warning,mean_success_rate,std_success_rate,mean_collision_rate,std_collision_rate,mean_reaction_time_eval_style,std_reaction_time_eval_style,mean_reaction_time_nan_style,std_reaction_time_nan_style,mean_nan_reaction_rate,std_nan_reaction_rate,mean_mean_min_distance,std_mean_min_distance,mean_near_miss_rate,std_near_miss_rate,mean_distance_warning_cost_nonzero_rate,std_distance_warning_cost_nonzero_rate,mean_distance_warning_cost_mean,std_distance_warning_cost_mean,mean_distance_warning_cost_p90,std_distance_warning_cost_p90,mean_distance_warning_cost_p95,std_distance_warning_cost_p95,mean_distance_warning_cost_max,std_distance_warning_cost_max,mean_risk_sum_mean,std_risk_sum_mean,mean_risk_max_mean,std_risk_max_mean,mean_mean_time,std_mean_time
attention_full_distance_penalty_mid_d15,750000,eval_random_switch,1,1.5,1.0,,0.0,,,,,,,,1.7653246164321899,,0.0,,0.2,,0.0001648591708180832,,0.006558079322390088,,0.02853284725515258,,0.0545436314407652,,0.0036941694246208955,,0.0036908163338059672,,7.328,
attention_full_distance_penalty_mid_d15,750000,eval_random_switch_hard,1,1.5,1.0,,0.0,,,,,,,,1.2504352200031281,,0.12,,0.96,,0.009178885248061255,,0.2517218295626236,,0.34725068840797113,,0.6311242613593073,,0.013016975193750065,,0.01272733172518197,,7.4159999999999995,
attention_full_distance_penalty_mid_d15,750000,eval_sudden_turn,1,1.5,1.0,,0.0,,2.7039999999999997,,0.5148936170212768,,0.06,,1.5413485157489777,,0.02,,0.48,,0.0010446057677836332,,0.060760417347314875,,0.09511685450528369,,0.2516573029207656,,0.007206081154638423,,0.007180286620059594,,7.280000000000001,
attention_full_distance_penalty_mid_d15,750000,mixed_uncertainty,1,1.5,0.96,,0.04,,0.2880000000000001,,0.2880000000000001,,0.0,,1.19529332280159,,0.38,,0.78,,0.018267083951210218,,0.5663240284738595,,0.6930642813654104,,1.1401929900918653,,0.032761903736036956,,0.032479356343895115,,7.7719999999999985,
attention_full_distance_penalty_mid_d15,1000000,eval_random_switch,1,1.5,1.0,,0.0,,,,,,,,1.757274901866913,,0.0,,0.24,,4.082641189028962e-05,,0.003958920762484282,,0.008471126411140447,,0.0144442378723965,,0.004136128492169312,,0.004075031322551721,,7.228,
attention_full_distance_penalty_mid_d15,1000000,eval_random_switch_hard,1,1.5,1.0,,0.0,,,,,,,,1.3242288172245025,,0.06,,0.86,,0.0073723178653517275,,0.1749454756615436,,0.26834649208426764,,0.5642034175057375,,0.012875618057732886,,0.01240892318543042,,7.4159999999999995,
attention_full_distance_penalty_mid_d15,1000000,eval_sudden_turn,1,1.5,1.0,,0.0,,8.36,,0.28205128205128216,,0.22,,1.5472828578948974,,0.0,,0.48,,0.00034578258678264785,,0.02652272784439439,,0.042677752454158405,,0.0708794216453867,,0.006354881055476609,,0.006340276734490494,,7.188000000000001,
attention_full_distance_penalty_mid_d15,1000000,mixed_uncertainty,1,1.5,0.96,,0.04,,0.2320000000000001,,0.2320000000000001,,0.0,,1.1809307610988617,,0.42,,0.76,,0.019026458881999105,,0.551195903300209,,0.6921807780403503,,1.29217877402347,,0.03446323468792659,,0.03446296620863169,,7.408,
attention_full_distance_penalty_wide_d2,250000,eval_random_switch,3,2.0,0.49333333333333335,0.4110150037812894,0.006666666666666667,0.011547005383792516,,,,,,,2.7469390654563903,0.2507645278532233,0.04,0.02,0.18000000000000002,0.039999999999999994,0.0020733436475072436,0.0007701288255311721,0.06899720409824645,0.026026990683358526,0.4608686513227582,0.4618985611086063,1.9712517552004154,0.45663407490257213,0.001407130505689244,0.000599330160512974,0.0014046054928408454,0.000595402887262615,28.744,9.33387465096891
attention_full_distance_penalty_wide_d2,250000,eval_random_switch_hard,3,2.0,0.04,0.02,0.12,0.10392304845413264,,,,,,,1.564734770357609,0.5637308430717272,0.21333333333333335,0.1858314648635514,0.7000000000000001,0.31240998703626616,0.022917222483615916,0.01895809005244734,1.5637988773778464,1.0858714943520849,1.7291086243415918,1.1229194436673193,2.161453273734665,1.4517576803383483,0.023191021990107863,0.021324055617200126,0.02028737978606104,0.01868243954212285,37.05466666666667,1.0681448091590093
attention_full_distance_penalty_wide_d2,250000,eval_sudden_turn,3,2.0,0.4533333333333333,0.34312291286554053,0.0,0.0,0.20000000000000007,0.0,0.20000000000000007,0.0,0.0,0.0,2.6213901527722676,0.2154238304041164,0.0,0.0,0.17333333333333334,0.05773502691896256,0.0006004189184932262,0.0008395525530692606,0.08027619916632751,0.12471302712164944,0.15361860108440617,0.22264443986971658,0.37522761388724746,0.3547196634522203,0.0007547546451696889,0.0007982704902244252,0.0007448414871685443,0.0007819232570913338,29.654666666666667,8.089402779768934
attention_full_distance_penalty_wide_d2,250000,mixed_uncertainty,3,2.0,0.5466666666666666,0.28589042189855424,0.013333333333333334,0.023094010767585032,0.20000000000000007,0.0,0.20000000000000007,0.0,0.0,0.0,2.137564032276471,0.35888146473782134,0.08666666666666667,0.09865765724632496,0.41333333333333333,0.1501110699893027,0.009010737443790409,0.007037061188496548,0.7489121306002887,0.7476156836758914,1.0831702798725,0.7752756680177502,2.069065883630268,0.3883304383505903,0.004257962846857516,0.004306989769082838,0.004257559231635329,0.004307129408057767,32.334666666666664,5.78514557581167
attention_full_distance_penalty_wide_d2,500000,eval_random_switch,3,2.0,1.0,0.0,0.0,0.0,,,,,,,2.529334840774536,0.24584761233221233,0.0,0.0,0.19333333333333336,0.0901849950564579,0.0009509995174448626,0.0011508954340684009,0.05356621700212586,0.07617840199450189,0.08103761883385577,0.0863834534203508,0.2716467114184506,0.045214923815533666,0.00017704398916632114,0.00021168847518539293,0.0001769464484064952,0.00021176673290529652,8.905333333333333,0.188226813534452
