method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_parent_500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/parent_500k.zip,500000,parent_500k,eval_flow_id,50,0.68,0.32,0.62,0.9409513528564389,5.383498107313347,0.9034085893630981,108.28,34.8386174568429,0.2498209426183885,0.2770471428533459,1.5079879086397117,0.09323170364335023,0.0,3.240440378798516,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_parent_500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/parent_500k.zip,500000,parent_500k,eval_flow_mixed_ood,50,0.44,0.56,0.36,0.8909405067620234,4.971945477785838,0.78736432492733,104.76,28.310013797032475,0.2554399945138573,0.3003217449449284,1.5230611337614184,0.09399330176297432,0.0,3.0243454121385467,0
block_projected_full,n3pf_block_projected_no_z_full_1p5m,block_projected_full_parent_500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/parent_500k.zip,500000,parent_500k,eval_flow_sudden_threat,50,0.52,0.48,0.48,0.9509809230389813,5.2355299782371585,0.7450210136175156,111.42,31.977233835148528,0.229357431900397,0.2598434763726231,1.5051299836223813,0.0911922682914102,0.0,3.228294049980073,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,eval_flow_high_density,50,0.5,0.5,0.46,0.9469330240085331,5.257380803797207,0.7406794887781143,113.28,31.398831758308457,0.27982833927296324,0.31132437635569005,1.5595936166136934,0.09627168704974666,0.0,3.327122206298041,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,eval_flow_high_speed,50,0.4,0.6,0.26,0.8976147797015552,4.8501227089495345,0.7512500974535942,106.02,27.67230786775908,0.23438832900145867,0.2839232396689988,1.5690566263963073,0.09658076266350234,0.0,3.1414635781829974,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,eval_flow_high_threat,50,0.5,0.5,0.46,0.9617533778220992,5.499577255692636,0.7847666323184967,115.02,31.95331524908498,0.24095909462459075,0.2719261071369068,1.556644155860418,0.0943898171513283,0.0,3.6829973533746134,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,eval_flow_id,50,0.76,0.24,0.7,0.9658335646812759,5.817257857180643,0.9331817120313645,115.76,37.22007342216066,0.2200974537786745,0.2472696638917563,1.5561049679706938,0.09685582932807973,0.0,3.8579338892775183,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,eval_flow_mixed_ood,50,0.56,0.44,0.54,0.9419029751130245,5.399784050169786,0.7710807394981384,114.1,32.484858849631635,0.25332934866784307,0.2887016911301843,1.5603794291123636,0.10144217135962456,0.0,3.528455556301442,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,eval_flow_sudden_threat,50,0.66,0.34,0.62,0.9686352700982852,5.7167887862125735,0.7601214444637299,116.06,35.37917656624988,0.2099273080335239,0.2363377391011406,1.556210931748999,0.09470527446410562,0.0,3.8599231698428214,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/final.zip,1500000,z2_final,eval_flow_high_density,50,0.5,0.5,0.48,0.9119411608841865,4.908527188151058,0.7328801792860031,108.2,30.27757705777736,0.3065986991898805,0.33966766584829705,1.570369990619827,0.09176546926032138,0.0,2.859276470622277,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/final.zip,1500000,z2_final,eval_flow_high_speed,50,0.32,0.68,0.28,0.88899070159171,5.125839219471283,0.6444430829584599,110.88,25.84157669914343,0.22914520338070768,0.27335300218790504,1.5690341619219925,0.08895359264286348,0.0,3.243400220576914,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/final.zip,1500000,z2_final,eval_flow_high_threat,50,0.46,0.54,0.44,0.9328745381157146,5.357667361343953,0.7413926914334297,111.68,30.166259979292604,0.26161213101249514,0.2906021382754348,1.5621196460751938,0.08954483414941133,0.0,3.361101844571519,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/final.zip,1500000,z2_final,eval_flow_id,50,0.64,0.36,0.62,0.9563663527466183,5.412323077595671,0.7835824555158615,112.04,34.592043389097704,0.25679003979742143,0.29166462277075716,1.561283834150141,0.0889851031313471,0.0,3.258354751309123,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/final.zip,1500000,z2_final,eval_flow_mixed_ood,50,0.48,0.52,0.38,0.9091636279409476,5.184094500303254,0.808391788303852,108.56,29.794592230076763,0.2740798258329432,0.3094665401196155,1.5647919601097973,0.0936317736870209,0.0,3.2000866601347866,0
z2_corrected_full,gpsi_z_layernorm_alpha_0p5_corrected_full_1p5m,z2_corrected_full_final,checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/final.zip,1500000,z2_final,eval_flow_sudden_threat,50,0.64,0.36,0.62,0.9567438639443056,5.369693406399705,0.7671262411773205,113.62,34.553719247008175,0.24915928335070348,0.27785851282690516,1.562311487629508,0.09025819065132783,0.0,3.3652008626085292,0
