training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,threat_class,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash,source_phase
-1,no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1002,high,288,0.5520833333333334,0.4479166666666667,0.4965277777777778,0.9504312512526508,5.424973019096847,0.7835794191600548,113.49652777777776,32.574303086904735,0.2367347397076955,0.2697993791464027,1.558814420911503,0.0961427634900649,0.0,3.5793079273893125,0,N3PF-V
-1,no_z_full,N3F_no_z_full,N3F_no_z_full,checkpoints/env_v2_gpsi_heada_ppo_n3f_no_z_s0/final.zip,1500000,final,1002,medium,12,1.0,0.0,0.8333333333333334,0.985287925513318,5.5763401724712125,1.1336120913426082,120.91666666666669,42.7418101826236,0.2217455862356443,0.2601233495120435,1.5500729618811828,0.1058023214857265,0.0,3.703333337598501,0,N3PF-V
0,p3_s0_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1000,high,285,0.6210526315789474,0.3789473684210526,0.5368421052631579,0.9570781077824893,4.73864462844881,0.8603292715131191,116.0701754385965,34.16226328269235,0.2263891679670807,0.2698520625197395,1.489401733295897,0.122098996667177,0.0,2.8508975632912854,0,N3PF-V
0,p3_s0_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1000,medium,15,0.8,0.2,0.5333333333333333,0.9266829256711648,4.700588063435997,1.077112372716268,110.8,36.76070313530639,0.2494183061694886,0.2954064453951737,1.505994538072547,0.1330180898988306,0.0,2.6997722884539925,0,N3PF-V
0,p3_s0_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1001,high,286,0.6293706293706294,0.3706293706293706,0.5454545454545454,0.9576100763732088,4.7214599345742005,0.8633139823283349,116.2132867132867,34.34883596571008,0.2273453691684996,0.2711903139273875,1.4886047554234372,0.122174622608011,0.0,2.8330951895325303,0,N3PF-V
0,p3_s0_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1001,medium,14,0.8571428571428571,0.1428571428571428,0.5714285714285714,0.9234163281387932,4.659011608526173,1.126933393733842,110.64285714285714,37.797819430411,0.2482705619199008,0.2943830119752335,1.5056515948588332,0.1334492669036534,0.0,2.673104244032821,0,N3PF-V
0,p3_s0_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1002,high,286,0.6293706293706294,0.3706293706293706,0.541958041958042,0.957582207067174,4.728721744143062,0.8666105937290859,115.8006993006993,34.34979916530929,0.2265296761571307,0.2704370179470371,1.4885464709460536,0.1222123572147459,0.0,2.831069837802915,0,N3PF-V
0,p3_s0_1000k,P3_block_projected_1000k,P3_block_projected_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1000k.zip,1000000,1000k,1002,medium,14,0.8571428571428571,0.1428571428571428,0.5714285714285714,0.9234163281387932,4.659011608526173,1.126933393733842,110.64285714285714,37.797819430411,0.2482705619199008,0.2943830119752335,1.5056515948588332,0.1334492669036534,0.0,2.673104244032821,0,N3PF-V
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1000,high,288,0.6180555555555556,0.3819444444444444,0.5972222222222222,0.9561596405254948,4.662221673368039,0.793757622802837,115.30902777777776,33.93849191496721,0.3101718004771727,0.3537652974718839,1.5417233235640306,0.1530503857334215,0.0,2.674349215688109,0,N3PF-V
0,p3_s0_1500k,P3_block_projected_1500k,P3_block_projected_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_block_projected_s0/checkpoint_1500k.zip,1500000,1500k,1000,medium,12,0.6666666666666666,0.3333333333333333,0.5833333333333334,0.9066903262579912,4.397797059964993,0.8471684729059538,112.33333333333331,33.280733765754846,0.3837095228721485,0.4227370766256755,1.5475515111488978,0.1690558167526872,0.0,2.3309619331596045,0,N3PF-V
