training_seed,method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,include_z,include_logvar,logvar_output_scale,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max,source_phase
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_high_density,accel_decel,high,0,1,0.2,adapter_output_64,0,32941,2108224,0,0,5.629449540331608,5.633967399597168,5.8324713706970215,6.072056293487549,0.9985645935511619,0.9999642968177795,0.9999954700469971,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_high_density,accel_decel,high,0,1,0.2,full_aug_obs,0,32892,986760,0,0,3.2794979659546675,3.323296070098877,3.747028112411499,4.951765060424805,1.1618274439429332,1.5149712562561035,3.086733341217041,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_high_density,crossing_or_sudden_threat,high,0,1,0.2,obs_i_12,0,18617,223404,0,0,1.3489865067758564,1.3331843614578247,1.7845810413360599,2.2092607021331787,0.7981270495428975,1.0070143938064575,1.2961188554763794,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_high_density,crossing_or_sudden_threat,high,0,1,0.2,delta_hat_9_after_scale,0,18617,167553,0,0,1.4538716332615862,1.5039604902267456,2.0914573669433594,2.8376922607421875,1.1079352274154892,1.555724859237671,2.6156418323516846,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_high_density,crossing_or_sudden_threat,high,0,1,0.2,logvar_raw_9_clamped,0,18617,167553,0,0,12.635397850650719,13.160648345947266,14.321686744689941,15.0,4.965096999554281,5.0,5.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_high_density,crossing_or_sudden_threat,high,0,1,0.2,logvar_scaled_9_policy,0,18617,167553,0,0,2.5270795785388906,2.632129669189453,2.86433744430542,3.0,0.9930194004775438,1.0,1.0,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_high_density,crossing_or_sudden_threat,high,0,1,0.2,adapter_output_64,0,18644,1193216,0,0,5.616282410694279,5.618077754974365,5.8287882804870605,6.060919761657715,0.9984436965735525,0.9999330639839172,0.9999891519546509,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_high_density,crossing_or_sudden_threat,high,0,1,0.2,full_aug_obs,0,18617,558510,0,0,3.2467744328982464,3.3062069416046143,3.729459524154663,4.239574909210205,1.1927345409911718,1.555724859237671,2.6156418323516846,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_high_density,sinusoidal_lateral,high,0,1,0.2,obs_i_12,0,35992,431904,0,0,1.3722641225982888,1.3626444339752197,1.851592779159546,2.3844079971313477,0.8256921976900784,1.0248430311679837,1.4217637777328491,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_high_density,sinusoidal_lateral,high,0,1,0.2,delta_hat_9_after_scale,0,35992,323928,0,0,1.391096091958102,1.4408518075942993,2.0858117580413813,2.675784111022949,1.0668915857503591,1.560356855392456,2.1895034313201904,nan
1,p3_s1_1000k,P3_block_projected_seed1_1000k,p3_s1_1000k,1000000,1000k,eval_flow_high_density,sinusoidal_lateral,high,0,1,0.2,logvar_raw_9_clamped,0,35992,323928,0,0,12.998532991789267,13.448302268981934,14.421308517456055,15.0,4.972605486582799,5.0,5.0,nan
