training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash,source_phase
1,p3_s1_final,P3_block_projected_seed1_final,p3_s1_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1500000,final,1002,eval_flow_id,50,0.72,0.28,0.62,0.969694319144053,4.920603089272147,0.9310158014297485,113.28,36.06807658329321,0.32070376831281444,0.3607826174877375,1.595180767327245,0.1637375730965584,0.0,2.776455118539843,0,nan
1,p3_s1_final,P3_block_projected_seed1_final,p3_s1_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1500000,final,1002,eval_flow_mixed_ood,50,0.64,0.36,0.64,0.9608074324889122,4.4431836836385905,0.8076116487383842,110.9,34.141114766975555,0.3401937019822037,0.3903550486513303,1.5954267552395078,0.1671408959944579,0.0,2.5245211511169634,0,nan
1,p3_s1_final,P3_block_projected_seed1_final,p3_s1_final,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s1/final.zip,1500000,final,1002,eval_flow_sudden_threat,50,0.6,0.4,0.6,0.9775412735617397,4.8111758286724715,0.7909387719631195,114.68,33.82003149619735,0.32597675443649166,0.3574050283426885,1.5966933393359226,0.17496928852247062,0.0,2.7301352744175027,0,nan
2,p3_s2_1000k,P3_block_projected_seed2_1000k,p3_s2_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_density,50,0.46,0.54,0.46,0.9510066357650492,4.960833623496805,0.658641726076603,110.5,29.844434680046124,0.3041890541418219,0.3402282971814323,1.57824983721989,0.10834108025363377,0.0,2.9138063525304885,0,nan
2,p3_s2_1000k,P3_block_projected_seed2_1000k,p3_s2_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,50,0.24,0.76,0.24,0.9637671708624188,5.0412498556908165,0.5975689373910427,107.74,25.53024750127272,0.22177339429498755,0.2669511346189839,1.5786476354421943,0.10403100556219633,0.0,3.2126013575134,0,nan
2,p3_s2_1000k,P3_block_projected_seed2_1000k,p3_s2_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_threat,50,0.46,0.54,0.4,0.9635690858735038,5.5210774317863525,0.745581432878971,112.02,30.330713461052355,0.2365124643011843,0.26812722807215644,1.5828973469840577,0.10651269884642353,0.0,3.5720116986165236,0,nan
2,p3_s2_1000k,P3_block_projected_seed2_1000k,p3_s2_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_id,50,0.5,0.5,0.5,0.9733485447387815,5.68827986911962,0.7370767670869828,108.72,31.28226265534689,0.23769486742210993,0.2797161393433586,1.5753377919783018,0.09384747722362174,0.0,3.5495892876475703,0,nan
2,p3_s2_1000k,P3_block_projected_seed2_1000k,p3_s2_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_mixed_ood,50,0.42,0.58,0.4,0.9376631416404935,5.108918513226752,0.674620708078146,109.8,28.614652318410144,0.27451354305917675,0.3217669518391677,1.584191009653618,0.11434874536176955,0.0,3.1051325659316222,0,nan
2,p3_s2_1000k,P3_block_projected_seed2_1000k,p3_s2_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_sudden_threat,50,0.5,0.5,0.5,0.9703606005987053,5.4552435574682985,0.7284763970971108,111.7,31.259541037896874,0.20597384226727905,0.24018377052494863,1.5844076002215042,0.10554775839356656,0.0,3.4364395564623647,0,nan
2,p3_s2_1000k,P3_block_projected_seed2_1000k,p3_s2_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2/checkpoint_1000k.zip,1000000,1000k,1001,eval_flow_high_density,50,0.44,0.56,0.44,0.9508086729734224,4.9541782088953985,0.6513427391648292,109.82,29.415341023586794,0.30208124336074377,0.33782419010405795,1.5789322001710016,0.10537488337684545,0.0,2.9002455057609975,0,nan
