repair_stage,source,block,dim,count,nan_count,inf_count,mean,std,min,max,p01,p05,p50,p95,p99,scenario
before_fix,online_raw_active,history_rel_vel,0,867,0,0,1.7886608668024016,0.6454596836174226,-0.5460886359214783,3.142305850982666,-0.045950278639793396,0.6416257619857788,2.0058703422546387,2.6119446754455566,2.7509219646453857,
before_fix,online_raw_active,history_rel_vel,1,867,0,0,1.047198086942631,0.8927412189638115,-2.147085189819336,2.226825714111328,-0.8827368021011353,-0.8252571821212769,1.405611276626587,2.0902349948883057,2.090475082397461,
before_fix,online_raw_active,history_rel_vel,2,867,0,0,0.0014787449045192704,0.03224966188063786,-0.18280832469463348,0.06902434676885605,-0.08685386925935745,-0.04070542752742767,0.0,0.03103356994688511,0.031033571809530258,
before_fix,online_normalized_active,history_rel_pos,0,867,0,0,-0.6606451888045569,0.28344750934657825,-1.4664400815963745,0.028856491670012474,-1.1263138055801392,-1.107271432876587,-0.6354241371154785,-0.21563032269477844,-0.09417546540498734,
before_fix,online_normalized_active,history_rel_pos,1,867,0,0,-0.3985021327769399,1.486396998461715,-2.9369375705718994,3.0211293697357178,-2.158663749694824,-2.077179193496704,-1.0420509576797485,2.075582504272461,2.093651294708252,
before_fix,online_normalized_active,history_rel_pos,2,867,0,0,-0.0020825404968142784,0.33096478699122783,-0.5483922362327576,0.46518513560295105,-0.5175507068634033,-0.46967726945877075,-0.10320793837308884,0.46518513560295105,0.46518513560295105,
before_fix,online_normalized_active,history_rel_vel,0,867,0,0,5.032073612976927,1.8190946540721642,-1.547935128211975,8.847042083740234,-0.13839852809906006,1.7993922233581543,5.644233703613281,7.352328777313232,7.744007587432861,
before_fix,online_normalized_active,history_rel_vel,1,867,0,0,1.0325798103553614,0.8702379349348169,-2.0811853408813477,2.1824727058410645,-0.8487073183059692,-0.792676568031311,1.3819584846496582,2.0493249893188477,2.0495591163635254,
before_fix,online_normalized_active,history_rel_vel,2,867,0,0,0.014434884877681018,0.3059387105729669,-1.733817458152771,0.6552110910415649,-0.8235387206077576,-0.3857482671737671,0.00040666398126631975,0.29480883479118347,0.29480886459350586,
before_fix,online_normalized_active,ego_current,0,100,0,0,-909178.121875,233241.0042579629,-999973.8125,0.0,-999973.8125,-999973.575,-999433.03125,-523123.91250000155,0.0,
before_fix,online_normalized_active,ego_current,1,100,0,0,6549.303063964844,1680.1614455163246,0.0,7203.35400390625,0.0,3768.345471191407,7199.458251953125,7203.3521484375,7203.35400390625,
before_fix,online_normalized_active,ego_current,2,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
before_fix,online_normalized_active,ego_current,3,100,0,0,-0.9393707871437073,2.9200193199910855e-08,-0.9393708109855652,-0.9393707513809204,-0.9393708109855652,-0.9393708109855652,-0.9393708109855652,-0.9393707513809204,-0.9393707513809204,
before_fix,online_normalized_active,ego_current,4,100,0,0,0.416120770573616,4.308471767545033e-08,0.416120707988739,0.41612088680267334,0.416120707988739,0.416120707988739,0.4161207675933838,0.4161208301782608,0.41612088680267334,
before_fix,online_normalized_active,ego_current,5,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
before_fix,online_normalized_active,ego_current,6,100,0,0,-103034.0166015625,66548.94420932354,-213924.171875,0.0,-213924.171875,-202748.08984375,-102167.63671875,-6154.280908203144,0.0,
