method_key,method,steps,episode_reward,episode_length,wall_time,run_name,training_seed
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,28888,9.676223,139,2026-05-16 11:45:30,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,29016,33.413203,184,2026-05-16 11:45:31,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,29216,14.283192,166,2026-05-16 11:45:32,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,29336,14.369004,164,2026-05-16 11:45:32,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,29644,12.31912,189,2026-05-16 11:45:33,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,29704,34.625871,172,2026-05-16 11:45:33,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,29888,13.711339,168,2026-05-16 11:45:34,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,29996,14.55741,165,2026-05-16 11:45:34,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,30396,14.421553,173,2026-05-16 11:45:36,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,30424,12.019116,195,2026-05-16 11:45:36,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,30548,13.261071,165,2026-05-16 11:45:36,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,30664,-0.249684,67,2026-05-16 11:45:37,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,30700,13.139728,176,2026-05-16 11:45:37,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,30712,-0.481945,72,2026-05-16 11:45:37,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,30812,-6.1172,28,2026-05-16 11:45:37,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,31016,2.232527,76,2026-05-16 11:45:38,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,31116,8.949237,142,2026-05-16 11:45:38,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,31132,-5.828546,29,2026-05-16 11:45:38,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,31188,9.92808,131,2026-05-16 11:45:39,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,31500,34.305491,172,2026-05-16 11:45:40,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,31784,13.00152,167,2026-05-16 11:45:41,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,31792,35.825571,151,2026-05-16 11:45:41,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,31836,14.156268,176,2026-05-16 11:45:41,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,32180,33.762465,170,2026-05-16 11:45:42,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,32244,4.928359,115,2026-05-16 11:45:42,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,32508,13.855923,168,2026-05-16 11:45:43,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,32588,11.097993,199,2026-05-16 11:45:43,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,32836,-0.057045,82,2026-05-16 11:45:46,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,33028,10.014728,212,2026-05-16 11:45:47,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,33048,12.233186,201,2026-05-16 11:45:47,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,33268,14.17082,170,2026-05-16 11:45:48,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,33320,3.358114,73,2026-05-16 11:45:48,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,33660,11.163445,206,2026-05-16 11:45:49,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,33728,33.265523,170,2026-05-16 11:45:49,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,33952,13.18943,171,2026-05-16 11:45:50,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,34008,13.243206,172,2026-05-16 11:45:50,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,34400,12.252481,185,2026-05-16 11:45:52,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,34448,12.284755,180,2026-05-16 11:45:52,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,34508,-5.985137,27,2026-05-16 11:45:52,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,34616,11.787372,166,2026-05-16 11:45:52,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,34636,34.946907,157,2026-05-16 11:45:52,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,35092,35.506019,161,2026-05-16 11:45:54,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,35236,11.315271,150,2026-05-16 11:45:54,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,35244,12.456193,184,2026-05-16 11:45:55,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,35264,15.229323,162,2026-05-16 11:45:55,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,35848,11.445574,189,2026-05-16 11:45:57,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,35888,35.346519,156,2026-05-16 11:45:57,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,35908,14.44872,168,2026-05-16 11:45:57,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,35964,14.225219,180,2026-05-16 11:45:57,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,36264,9.369135,104,2026-05-16 11:45:58,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,36624,12.595591,165,2026-05-16 11:45:59,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,36628,33.478913,185,2026-05-16 11:45:59,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,36664,12.416064,189,2026-05-16 11:46:00,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,36776,-5.734412,28,2026-05-16 11:46:00,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,37300,12.496355,169,2026-05-16 11:46:04,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,37308,7.029174,261,2026-05-16 11:46:04,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,37424,-3.168479,31,2026-05-16 11:46:04,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,37460,33.589203,171,2026-05-16 11:46:04,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,37472,31.5749,211,2026-05-16 11:46:04,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,37832,7.587721,102,2026-05-16 11:46:05,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,37924,15.515464,154,2026-05-16 11:46:06,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,38068,35.680767,152,2026-05-16 11:46:06,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,38200,13.121005,182,2026-05-16 11:46:07,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,38488,8.112406,105,2026-05-16 11:46:08,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,38508,34.231284,169,2026-05-16 11:46:08,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,38596,-4.528233,22,2026-05-16 11:46:08,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,38668,13.016557,186,2026-05-16 11:46:08,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,38884,-0.269762,72,2026-05-16 11:46:09,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,38936,33.369373,184,2026-05-16 11:46:09,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,39088,14.538326,150,2026-05-16 11:46:10,seed2_rerunA,2
